postal_code;municipality;rent;size
95400;Tornio;460;23.5
13250;Hämeenlinna;585;35
00500;Helsinki;880;35
33100;Tampere;530;30
04130;Sipoo;497;27
00510;Helsinki;790;31.5
00380;Helsinki;965;38.5
00260;Helsinki;1050;42
15140;Lahti;674.75;43.5
15140;Lahti;674.75;43.5
33200;Tampere;550;32
00180;Helsinki;850;34
00250;Helsinki;800;32
00350;Helsinki;625;25
40100;Jyväskylä;750;50.5
00510;Helsinki;1199;48
02700;Kauniainen;1036;42.5
00180;Helsinki;974;39
33200;Tampere;890;63.5
33200;Tampere;890;63.5
20100;Turku;495;27
00180;Helsinki;1310.7;52.5
00380;Helsinki;1447;58
00790;Helsinki;760;30.5
04400;Järvenpää;785;54
00250;Helsinki;1195;48
00990;Helsinki;871;35
00180;Helsinki;994;40
02100;Espoo;964;38.5
33540;Tampere;800;55.5
00510;Helsinki;1179;47.5
00200;Helsinki;670;27
02170;Espoo;5500;342
00180;Helsinki;979;39.5
00180;Helsinki;990;40
02100;Espoo;962;38.5
15140;Lahti;674.75;44
01600;Vantaa;1070;45
70110;Kuopio;900;65
00180;Helsinki;1435.14;58
33100;Tampere;588;36
00180;Helsinki;964;39
02100;Espoo;960;38.5
02100;Espoo;960;38.5
70200;Kuopio;732;49.5
00170;Helsinki;1656;67
00510;Helsinki;1149;46.5
70100;Kuopio;1100;84
02230;Espoo;1182;52
33100;Tampere;800;56
33100;Tampere;650;42
33100;Tampere;880;63.5
00180;Helsinki;1050;42.5
00560;Helsinki;1268;51.5
02100;Espoo;997;41
05830;Hyvinkää;510;29
00370;Helsinki;972;39.5
70100;Kuopio;515;29.5
70200;Kuopio;851;61
02100;Espoo;995;41
00140;Helsinki;1200;49
90520;Oulu;750;36.5
33100;Tampere;690;46
00160;Helsinki;1100;45
13210;Hämeenlinna;530;31
57710;Savonlinna;1350;108
00210;Helsinki;3250;133
00260;Helsinki;1050;43
00500;Helsinki;780;32
33710;Tampere;1780;107
20100;Turku;550;33
00220;Helsinki;1072;44
00100;Helsinki;1190;49
15200;Lahti;746;51.5
15200;Lahti;746;51.5
11100;Riihimäki;560;34
15140;Lahti;560;34
00510;Helsinki;970;40
13100;Hämeenlinna;776;38.5
02400;Kirkkonummi;900;47
40100;Jyväskylä;650;42.5
00100;Helsinki;800;33
02650;Espoo;1517;73
00380;Helsinki;1115;46
33710;Tampere;819;58.5
33710;Tampere;819;58.5
00330;Helsinki;630;26
00250;Helsinki;750;31
00100;Helsinki;1100;45.5
00530;Helsinki;942;39
15900;Lahti;1950;140
04400;Järvenpää;650;30
02320;Espoo;3300;201
00220;Helsinki;1062;44
02100;Espoo;995;41.5
15200;Lahti;742;51.5
33540;Tampere;800;57
33710;Tampere;805;57.5
