postal_code;municipality;rent;size
02160;Espoo;1350;75
65100;Vaasa;570;36
04200;Kerava;884.77;55
00340;Helsinki;2400;120
40100;Jyväskylä;872;54
40100;Jyväskylä;872;54
40100;Jyväskylä;872;54
20100;Turku;690;56
20320;Turku;450;30
33540;Tampere;685;55.5
00220;Helsinki;1390;69.5
00560;Helsinki;1180;59
00200;Helsinki;1050;52.5
15610;Lahti;417;22
20100;Turku;680;55
90120;Oulu;520;31.5
90140;Oulu;795;67.5
00220;Helsinki;950;47.5
20540;Turku;380;22.5
00250;Helsinki;950;47.5
00150;Helsinki;900;45
01840;Nurmijärvi;990;63.5
00250;Helsinki;880;44
13100;Hämeenlinna;720;59.5
13130;Hämeenlinna;720;59.5
01620;Vantaa;670;31.5
40520;Jyväskylä;875;54.5
02400;Kirkkonummi;875;54.5
40100;Jyväskylä;837;51.5
20700;Turku;660;53
00910;Helsinki;840;42
02600;Espoo;1037;53.5
00530;Helsinki;820;41
02600;Espoo;1008;51.5
00320;Helsinki;800;40
13100;Hämeenlinna;650;52
02700;Kauniainen;3500;250
00260;Helsinki;950;47.7
40100;Jyväskylä;760;64
00320;Helsinki;885;44.5
00250;Helsinki;785;39.5
33100;Tampere;810;49.5
15100;Lahti;690;40
02410;Kirkkonummi;920;81.5
33100;Tampere;585;45
00560;Helsinki;1310;66
00160;Helsinki;1190;60
15110;Lahti;640;51
40100;Jyväskylä;695;57
05800;Hyvinkää;923;58.5
00550;Helsinki;1180;59.5
20100;Turku;470;32.5
02600;Espoo;1034;53.5
00980;Helsinki;1140;57.5
13250;Hämeenlinna;644;51.5
33100;Tampere;771.01;46.5
33100;Tampere;771.01;46.5
33100;Tampere;771.01;46.5
10230;Inkoo;1400;134
05620;Nurmijärvi;850;74
02160;Espoo;1275;70.5
05800;Hyvinkää;650;52.2
00530;Helsinki;1069;54
02600;Espoo;919;45.5
00250;Helsinki;920;46.5
00180;Helsinki;1820;92
60100;Seinäjoki;1500;104.5
00370;Helsinki;1800;91
90100;Oulu;500;30
40100;Jyväskylä;864;54
40100;Jyväskylä;864;54
40100;Jyväskylä;864;54
33100;Tampere;661;53.5
15800;Lahti;650;37
33720;Tampere;834;61
02700;Kauniainen;950;53.5
40100;Jyväskylä;700;41
33500;Tampere;400;25
33270;Tampere;575;37
33100;Tampere;762.72;46
33100;Tampere;762.72;46
04200;Kerava;925.97;59
01280;Vantaa;930;52
02600;Espoo;1002;51.5
05830;Hyvinkää;790;57
04200;Kerava;762.2;46
00270;Helsinki;890;45
00350;Helsinki;890;45
00280;Helsinki;770;39
00180;Helsinki;1500;76
00980;Helsinki;1095;55.5
00100;Helsinki;2500;127
00120;Helsinki;3500;178
01520;Vantaa;802;37.5
40100;Jyväskylä;830;51.5
40100;Jyväskylä;830;51.5
02230;Espoo;690;33.5
15200;Lahti;440;29.5
00940;Helsinki;639;32.5
00870;Helsinki;1474;75
02710;Espoo;920;51.4
90230;Oulu;535;28
33560;Tampere;645;52
33720;Tampere;900;80
02110;Espoo;1133;68
33580;Tampere;848;53
90530;Oulu;426;28
70460;Kuopio;590;46
02200;Espoo;900;44.5
02100;Espoo;927;52
33230;Tampere;1100;102
00330;Helsinki;2200;112
13250;Hämeenlinna;690;57
02360;Espoo;1600;94
00300;Helsinki;1100;56
04300;Tuusula;910;58
02610;Espoo;963;49
33100;Tampere;990;90
33100;Tampere;721.72;43
15500;Lahti;430;28.5
37100;Nokia;430;28.5
33800;Tampere;480;34
90500;Oulu;480;34
02770;Espoo;920;46
20500;Turku;927.99;59.5
33900;Tampere;589;46
70500;Kuopio;698;58
40100;Jyväskylä;990;64.5
33100;Tampere;746.14;45
33100;Tampere;746.14;45
00300;Helsinki;1100;56
00910;Helsinki;1030;52.5
00810;Helsinki;1322;67.5
00170;Helsinki;1938.85;99
00170;Helsinki;1410.07;72
00350;Helsinki;940;48
13500;Hämeenlinna;1150.88;77.5
04200;Kerava;715;60
20700;Turku;715;60
02100;Espoo;867;47.6
00560;Helsinki;930;47.5
40100;Jyväskylä;863;54.5
33900;Tampere;660;54
33900;Tampere;601;47.5
90120;Oulu;415;27
00560;Helsinki;1429;73
04400;Järvenpää;950;61.5
00300;Helsinki;1575;80.5
53900;Lappeenranta;750;45.5
05800;Hyvinkää;943;61
26100;Rauma;700;58.5
00340;Helsinki;2053;105
33540;Tampere;650;53
00500;Helsinki;1300;66.5
33900;Tampere;606;34
26100;Rauma;550;42
15140;Lahti;805;50
00580;Helsinki;1436;73.5
00370;Helsinki;1034;53
00220;Helsinki;1423.5;73
60100;Seinäjoki;1700;122
02470;Kirkkonummi;640;52
00370;Helsinki;975;50
00810;Helsinki;1150;59
00270;Helsinki;1520;78
00810;Helsinki;905;46.5
00100;Helsinki;1400;72
01520;Vantaa;1097;59
00870;Helsinki;700;36
00560;Helsinki;920;47.5
02130;Espoo;1750;105.5
00180;Helsinki;978;50.5
65100;Vaasa;558;43
80220;Joensuu;689;57.5
80220;Joensuu;689;57.5
70500;Kuopio;1100;103
70820;Kuopio;680;47.5
40100;Jyväskylä;822;51.5
40100;Jyväskylä;822;51.5
00500;Helsinki;1220;63
33710;Tampere;685;48
00820;Helsinki;1200;62
02710;Espoo;911;51.4
20540;Turku;440;30
90100;Oulu;440;30
02650;Espoo;1200;66.5
00980;Helsinki;996;51.5
00200;Helsinki;899;46.5
33610;Tampere;751;64.5
00810;Helsinki;1303;67.5
15140;Lahti;709;42.5
20540;Turku;620;50
33200;Tampere;665;55
80100;Joensuu;1000;66
20320;Turku;820;51.5
00810;Helsinki;1303;67.5
20100;Turku;634;36.5
20700;Turku;430;29
20700;Turku;790;69
00420;Helsinki;1109;57.5
20100;Turku;497;25.5
33710;Tampere;668;55.5
33400;Tampere;632;51.5
00980;Helsinki;2250;117
02100;Espoo;909;51.5
90100;Oulu;551;42.5
00100;Helsinki;1250;65
07900;Loviisa;870;78
00500;Helsinki;1000;52
96200;Rovaniemi;690;58
70100;Kuopio;960;63
02330;Espoo;1013.29;53.5
00280;Helsinki;750;39
02600;Espoo;1013;53.5
02600;Espoo;1013;53.5
02650;Espoo;999;52.5
00350;Helsinki;1018;53
80260;Joensuu;896;81
01840;Nurmijärvi;990;65.5
00170;Helsinki;1590;82.9
80220;Joensuu;689;58
02620;Espoo;1002;59
13600;Hämeenlinna;801.12;70.5
00900;Helsinki;1375;71.7
04300;Tuusula;1513.73;108
00990;Helsinki;1245;65
53810;Lappeenranta;980;90.5
33710;Tampere;805;71
15700;Lahti;500;37
00350;Helsinki;890;46.5
00990;Helsinki;1550;81
05800;Hyvinkää;933;61
00810;Helsinki;1291;67.5
00910;Helsinki;897;47
02150;Espoo;620;21
00910;Helsinki;1068;56
01610;Vantaa;1289;73.5
70840;Kuopio;760;47
00900;Helsinki;1247;65.4
02460;Kirkkonummi;1100;104
70280;Kuopio;710;60.5
00560;Helsinki;1180;62
15950;Lahti;795;70
02600;Espoo;850;42
33230;Tampere;880;79.5
00170;Helsinki;2700;141.9
40100;Jyväskylä;704;42.5
40520;Jyväskylä;784;49
00910;Helsinki;1065;56
04220;Kerava;790;49.5
00790;Helsinki;827;43.5
00350;Helsinki;990;52.1
02230;Espoo;870;43.5
40100;Jyväskylä;814;51.5
00220;Helsinki;1615;85
00220;Helsinki;1539;81
00790;Helsinki;1330;70
15800;Lahti;695;59
02700;Kauniainen;859;48
02330;Espoo;917.53;47
02650;Espoo;966;50.5
20100;Turku;641;44.5
00220;Helsinki;1320.5;69.5
26100;Rauma;650;54
01600;Vantaa;792;38
01600;Vantaa;792;38
00500;Helsinki;939;49.5
28100;Pori;480;35
00370;Helsinki;749;39.5
00160;Helsinki;1895;100
04200;Kerava;1014.55;68
28100;Pori;720;44
80200;Joensuu;551;43
00540;Helsinki;2140;113
02650;Espoo;1227;69.5
33300;Tampere;390;25
90500;Oulu;390;25
33310;Tampere;595;48
15500;Lahti;693;59
33330;Tampere;737.5;64
15150;Lahti;430;29.5
40520;Jyväskylä;780;49
20100;Turku;486;25
70910;Siilinjärvi;770;57
00350;Helsinki;2611;138
20500;Turku;630;52
00990;Helsinki;1530;81
00990;Helsinki;1530;81
02610;Espoo;990;52.5
33100;Tampere;790;70
00360;Helsinki;1114;59
01900;Nurmijärvi;840;54
65100;Vaasa;950;63
00560;Helsinki;1340;71
00560;Helsinki;849;45
00910;Helsinki;1056;56
00580;Helsinki;990;52.5
00980;Helsinki;932;49.5
00240;Helsinki;1110;59
00350;Helsinki;1486;79
02210;Espoo;610;28.5
01520;Vantaa;1500;89.5
70500;Kuopio;718;62
00200;Helsinki;1803;96
33710;Tampere;749;65.5
13100;Hämeenlinna;620;51
90100;Oulu;620;51
15100;Lahti;580;46.5
02610;Espoo;940;49
00200;Helsinki;995;53
40520;Jyväskylä;674;40.5
33900;Tampere;674;40.5
33720;Tampere;593;48
00250;Helsinki;1200;64
00100;Helsinki;880;47
40520;Jyväskylä;802;51
33710;Tampere;698;42.5
00790;Helsinki;1095;58.5
05800;Hyvinkää;1015;68.5
33540;Tampere;690;59
04200;Kerava;1020.73;69
05800;Hyvinkää;923;61
00790;Helsinki;1336;71.5
00250;Helsinki;880;47.1
70500;Kuopio;1000;94
40100;Jyväskylä;807;51.5
02200;Espoo;1985;125
03400;Vihti;450;32
15100;Lahti;630;37
34130;Ylöjärvi;645;54
00200;Helsinki;1250;67
15100;Lahti;800.5;51
00800;Helsinki;1100;59
90130;Oulu;636;53
00790;Helsinki;1342;72
13700;Hattula;565;45
00790;Helsinki;1331;71.5
02130;Espoo;908;52.5
20810;Turku;720;62.5
01300;Vantaa;989;59
20500;Turku;680;58
33720;Tampere;702;60.5
33720;Tampere;702;60.5
20300;Turku;795;71
40100;Jyväskylä;739;46
90100;Oulu;600;49
00500;Helsinki;1591;85.5
02650;Espoo;1500;90
40100;Jyväskylä;708;43.5
15240;Lahti;750;66
05200;Nurmijärvi;789.81;70.5
48600;Kotka;365;22.5
00790;Helsinki;1097;59
33100;Tampere;817.09;52.5
00790;Helsinki;1097;59
33720;Tampere;440;31
33850;Tampere;440;31
70620;Kuopio;1050;100
01520;Vantaa;1319.72;77
90100;Oulu;820;74
00790;Helsinki;1097;59
01520;Vantaa;935;49
33200;Tampere;590;48
20100;Turku;590;48
33560;Tampere;590;48
00790;Helsinki;1097;59
15110;Lahti;740;65
02230;Espoo;1284.43;74.5
90100;Oulu;360;22
01360;Vantaa;1950;123
65100;Vaasa;881.17;81
00790;Helsinki;1097;59
00910;Helsinki;1041;56
01600;Vantaa;783;38
01600;Vantaa;783;38
15110;Lahti;734.6;64.5
37630;Valkeakoski;739;65
37630;Valkeakoski;739;65
01520;Vantaa;899;46.5
02780;Espoo;2400;156
45100;Kouvola;408;27.5
02320;Espoo;630;30.5
00900;Helsinki;1300;70
33200;Tampere;660;56.1
90120;Oulu;712;62
33900;Tampere;590;34
33480;Ylöjärvi;570;38.5
01620;Vantaa;1108;69
00280;Helsinki;900;48.5
33410;Tampere;500;38
01520;Vantaa;925;48.5
01900;Nurmijärvi;850;55.5
33100;Tampere;850;55.5
20320;Turku;856;56
02200;Espoo;1520;92
40100;Jyväskylä;801.23;51.5
01520;Vantaa;1068;59
80220;Joensuu;865;79.5
80220;Joensuu;865;79.5
70200;Kuopio;680;58.5
01520;Vantaa;890;46
01520;Vantaa;890;46
70460;Kuopio;856;78.5
00790;Helsinki;1336;72
00790;Helsinki;1048;56.5
20540;Turku;640;54
70100;Kuopio;640;54
02400;Kirkkonummi;1000;68
02160;Espoo;862;44
90560;Oulu;420;29
20100;Turku;1150;112
20100;Turku;1150;112
33210;Tampere;770;49
01520;Vantaa;937;49.5
15140;Lahti;643;38.5
15100;Lahti;565;45.5
11130;Riihimäki;788;50.5
05800;Hyvinkää;933;62.5
02230;Espoo;677;30.5
33900;Tampere;697;43
04440;Järvenpää;670;57.5
04440;Järvenpää;670;57.5
20380;Turku;850;78
13100;Hämeenlinna;757;48
01690;Vantaa;1625;100
02230;Espoo;1550;105
15160;Lahti;1300;93
33400;Tampere;630;53
40100;Jyväskylä;811;52.5
40100;Jyväskylä;992;67.5
00400;Helsinki;890;48
00350;Helsinki;2195;118.5
00990;Helsinki;1500;81
05800;Hyvinkää;883;58.5
20500;Turku;1020;97.5
90400;Oulu;545;30.5
02330;Espoo;921.15;48.5
40100;Jyväskylä;738;46.5
33230;Tampere;660;56.5
33710;Tampere;660;56.5
00940;Helsinki;750;40.5
00220;Helsinki;1350.5;73
80220;Joensuu;809;73.5
00880;Helsinki;1350.5;73
60100;Seinäjoki;480;36
15100;Lahti;791.7;51
90150;Oulu;550;44
20320;Turku;620;52
15110;Lahti;690;60
33230;Tampere;760;68
02620;Espoo;854;49
02760;Espoo;650;32.5
26100;Rauma;580;47.5
40100;Jyväskylä;959;65
20500;Turku;892.64;59.5
60100;Seinäjoki;570;32.7
20540;Turku;760;48.5
24260;Salo;457;33.5
20100;Turku;680;59
33400;Tampere;730;54.5
02200;Espoo;870;45
40520;Jyväskylä;687;42.5
15950;Lahti;675;58.5
20500;Turku;818.99;53.5
00880;Helsinki;1313.5;71
02330;Espoo;829;42
05800;Hyvinkää;933;63
02480;Kirkkonummi;950;90
33720;Tampere;950;90
11100;Riihimäki;570;39
00910;Helsinki;1036;56
90400;Oulu;975;66.5
36240;Kangasala;465;34.5
00160;Helsinki;1350;73
01600;Vantaa;774;38
33210;Tampere;696;61
21100;Naantali;600;50
01520;Vantaa;984;53.5
40100;Jyväskylä;860;57
01900;Nurmijärvi;800;52
03100;Vihti;770;49.5
02230;Espoo;1960;125.5
15140;Lahti;650;39.5
15140;Lahti;650;39.5
00790;Helsinki;1331;72
90100;Oulu;500;27
20500;Turku;530;42
02210;Espoo;660;33.5
00790;Helsinki;1331;72
15100;Lahti;495;38
33840;Tampere;460;34
15870;Hollola;460;34
50100;Mikkeli;630;53.5
11100;Riihimäki;765;69
00790;Helsinki;1331;72
80220;Joensuu;730;65
70500;Kuopio;847;56
33540;Tampere;799;52
40100;Jyväskylä;733;46.5
13210;Hämeenlinna;660;57
00730;Helsinki;915;49.5
93600;Kuusamo;490;37.5
20500;Turku;625;53
00560;Helsinki;1090;59
20100;Turku;590;49
53900;Lappeenranta;960;65.5
06450;Porvoo;677;59
70500;Kuopio;790;72
02320;Espoo;1820;115.5
00910;Helsinki;1034;56
53900;Lappeenranta;720;45.5
05800;Hyvinkää;1025;71
01520;Vantaa;920;49
33540;Tampere;899;60.5
00340;Helsinki;2200;119.2
79600;Joroinen;650;56
20540;Turku;450;33
06400;Porvoo;450;33
65350;Vaasa;850;79
00370;Helsinki;1052;57
08200;Lohja;936.26;75
40720;Jyväskylä;1100;91
80220;Joensuu;715;63.5
04600;Mäntsälä;828;76.5
20320;Turku;475;30
20100;Turku;728;65
33720;Tampere;641;55
00570;Helsinki;950;51.5
11100;Riihimäki;725;46
00500;Helsinki;1225;66.5
00910;Helsinki;1031;56
02650;Espoo;966;52.5
02770;Espoo;966;52.5
90500;Oulu;850;56.5
08100;Lohja;710;63
00550;Helsinki;800;43.5
20100;Turku;617;37
33330;Tampere;653.4;56.5
00160;Helsinki;2850;155
20100;Turku;840;78
96300;Rovaniemi;790;51.5
40100;Jyväskylä;981;67.5
95400;Tornio;1200;119.5
00780;Helsinki;855;46.5
05800;Hyvinkää;903;61
37630;Valkeakoski;679;59.5
70100;Kuopio;706;44.5
02200;Espoo;1935;124.5
04320;Tuusula;670;58.5
53300;Lappeenranta;839;78
33720;Tampere;950;65
01820;Nurmijärvi;1550;160
15140;Lahti;634;38.5
00360;Helsinki;1082;59
20100;Turku;700;62
20100;Turku;596;42
15210;Lahti;786;72
01520;Vantaa;916;49
90400;Oulu;1300;94.5
00560;Helsinki;1100;60
80100;Joensuu;770;50
53810;Lappeenranta;435;31.5
28610;Pori;422;30
28610;Pori;422;30
00550;Helsinki;1300;71
02600;Espoo;1164;67.5
02600;Espoo;1164;67.5
02260;Espoo;2150;156
33540;Tampere;530;42.5
00170;Helsinki;1390;76
20700;Turku;690;61
02230;Espoo;1950;126
65100;Vaasa;850;79.5
90540;Oulu;850;79.5
02660;Espoo;1251;74
00790;Helsinki;850;46.5
80220;Joensuu;798;73.5
02140;Espoo;1600;100
05720;Hyvinkää;1200;120
40400;Jyväskylä;629;54
21100;Naantali;750;68
26100;Rauma;335;20
26100;Rauma;335;20
20100;Turku;724;65
24260;Salo;456;34
02230;Espoo;780;39
33400;Tampere;698;62
04400;Järvenpää;840;56
02230;Espoo;1283.49;76.5
08100;Lohja;430;31
02210;Espoo;1050;66
33540;Tampere;620;53
00100;Helsinki;1350;74
33840;Tampere;749.6;68
02320;Espoo;840;43.5
40100;Jyväskylä;893;60.5
90400;Oulu;495;27
15100;Lahti;780;51
40100;Jyväskylä;780;51
13210;Hämeenlinna;490;38
28100;Pori;395;27
70300;Kuopio;833;55.5
00910;Helsinki;1140;62.5
33720;Tampere;697;62
00980;Helsinki;857.06;47
70200;Kuopio;787.35;72.5
33400;Tampere;530;30
00810;Helsinki;966;53
02430;Kirkkonummi;1200;86.5
00200;Helsinki;800;44
00500;Helsinki;1454;80
33540;Tampere;939;64.5
01520;Vantaa;1200;70.5
00560;Helsinki;1180;65
00930;Helsinki;878.5;48.5
90500;Oulu;980;68
00340;Helsinki;3500;193.5
20100;Turku;565;33
34260;Tampere;390;26.5
20320;Turku;718.85;46
90250;Oulu;420;30
33800;Tampere;420;30
37630;Valkeakoski;420;30
90120;Oulu;420;30
20720;Turku;420;30
34130;Ylöjärvi;420;30
02210;Espoo;1150;74.5
02750;Espoo;1500;93
96100;Rovaniemi;535;30.5
20100;Turku;450;33.5
53200;Lappeenranta;648;56.5
02320;Espoo;712;38.5
00810;Helsinki;1057;58.5
05800;Hyvinkää;949;65.5
00990;Helsinki;1120;62
24260;Salo;454;34
02600;Espoo;1211;71.5
01710;Vantaa;850;44.5
33710;Tampere;798;74
13600;Hämeenlinna;927;89
15140;Lahti;970;94
00820;Helsinki;838;46.4
10900;Hanko;600;51
33540;Tampere;889;60.5
70100;Kuopio;818;54.5
70300;Kuopio;818;54.5
01520;Vantaa;896.24;48
90100;Oulu;1004;98
90120;Oulu;789;73
00700;Helsinki;930;51.5
01300;Vantaa;976;54
02620;Espoo;1203;71
00700;Helsinki;930;51.5
40100;Jyväskylä;971;67.5
02160;Espoo;802;41
00990;Helsinki;1020;56.5
05800;Hyvinkää;1000;70
02760;Espoo;1342;81.5
00530;Helsinki;1200;66.5
90500;Oulu;740;48
90500;Oulu;740;48
33710;Tampere;805;75
13130;Hämeenlinna;675;42.5
34130;Ylöjärvi;530;43
48100;Kotka;530;43
90230;Oulu;590;50
13200;Hämeenlinna;590;50
20100;Turku;590;50
00420;Helsinki;1100;61
00120;Helsinki;1190;66
28100;Pori;620;53.5
33470;Ylöjärvi;650;57
33720;Tampere;650;57
37150;Nokia;650;57
33530;Tampere;650;57
40800;Jyväskylä;650;57
00790;Helsinki;946;52.5
33720;Tampere;787;73
02200;Espoo;1066.75;61
00880;Helsinki;1476;82
00220;Helsinki;1449;80.5
02110;Espoo;860;51
33500;Tampere;650;48
70840;Kuopio;762;50
70840;Kuopio;762;50
70840;Kuopio;762;50
70840;Kuopio;762;50
02700;Kauniainen;1355;92
15140;Lahti;750;49
00220;Helsinki;1449;80.5
33540;Tampere;700;63
65100;Vaasa;700;63
40250;Jyväskylä;700;63
90100;Oulu;700;63
13100;Hämeenlinna;832;56
40340;Jyväskylä;631.4;55
02270;Espoo;1790;115.5
70840;Kuopio;1020;72
02270;Espoo;1550;97.5
70100;Kuopio;914;63
90570;Oulu;845;80
01510;Vantaa;1204;71.5
33900;Tampere;749;49
02320;Espoo;1290;78
02600;Espoo;1250;75
02760;Espoo;931;51
20320;Turku;919;63.5
00880;Helsinki;1341;74.5
15140;Lahti;827;78
04430;Järvenpää;1048;74.5
06400;Porvoo;797;74.5
00880;Helsinki;1332;74
33100;Tampere;760;50
33900;Tampere;814;76.5
90100;Oulu;1100;110
40100;Jyväskylä;783.24;52
40100;Jyväskylä;783.24;52
01520;Vantaa;1295;78.5
02620;Espoo;857;45.5
37150;Nokia;600;51.5
00880;Helsinki;1278;71
01520;Vantaa;963;53.5
01520;Vantaa;963;53.5
00880;Helsinki;1278;71
02200;Espoo;1062.37;61
20100;Turku;1000;70.5
33330;Tampere;642.51;56.5
33900;Tampere;636;39.5
33710;Tampere;655;58
01520;Vantaa;770;39
00880;Helsinki;1278;71
02100;Espoo;1151;75.5
00880;Helsinki;1278;71
52700;Mäntyharju;450;34
05800;Hyvinkää;740;68
00880;Helsinki;1278;71
00880;Helsinki;1269;70.5
13100;Hämeenlinna;650;57.5
10900;Hanko;650;57.5
08500;Lohja;650;57.5
01520;Vantaa;1292;78.5
40520;Jyväskylä;787;52.5
33900;Tampere;475;37
00880;Helsinki;1251;69.5
70840;Kuopio;740;48.5
00880;Helsinki;1053;58.5
00880;Helsinki;981;54.5
01510;Vantaa;947.08;52.5
02780;Espoo;1820;118.5
53900;Lappeenranta;880;60.5
34130;Ylöjärvi;415;30
00880;Helsinki;981;54.5
00910;Helsinki;765;42.5
70460;Kuopio;683;61.5
29920;Merikarvia;500;40
02140;Espoo;968;60.5
02140;Espoo;968;60.5
00870;Helsinki;1574;87.5
01520;Vantaa;900;49
13130;Hämeenlinna;619;54
00160;Helsinki;1600;89
00700;Helsinki;1137;63.5
01900;Nurmijärvi;850;58
00790;Helsinki;1000;56
02760;Espoo;926;51
02760;Espoo;926;51
40520;Jyväskylä;692;44.5
04300;Tuusula;1300;96.5
01700;Vantaa;840;44.5
21600;Parainen;1350;140
02200;Espoo;1057.91;61
20810;Turku;645;40.5
60100;Seinäjoki;715;46.5
00200;Helsinki;2266;127
02230;Espoo;760;38.5
33870;Tampere;1275;94.5
53810;Lappeenranta;792;74.5
00530;Helsinki;990;55.5
48100;Kotka;691;44.5
90160;Oulu;380;26
37630;Valkeakoski;694;63
00810;Helsinki;1400;78.5
02320;Espoo;1300;79.5
00810;Helsinki;1621;91
90120;Oulu;638;40
00300;Helsinki;1050;59
00350;Helsinki;1049.4;59
00910;Helsinki;1040;58.5
00810;Helsinki;1322;74.5
00870;Helsinki;1249;70.5
96100;Rovaniemi;600;52
05900;Hyvinkää;600;52
02320;Espoo;916.7;50.5
01300;Vantaa;1134;67
33720;Tampere;480;26.5
28130;Pori;1600;170
02200;Espoo;699;34
15150;Lahti;570;48.5
02760;Espoo;850.34;45.5
00700;Helsinki;982;55.5
70840;Kuopio;1010;72
00810;Helsinki;1316;74.5
02650;Espoo;850;45.5
00560;Helsinki;1509;85.5
02200;Espoo;1053.83;61
90400;Oulu;695;45
01800;Nurmijärvi;892;73
02320;Espoo;928.63;51.5
11100;Riihimäki;620;54.5
20540;Turku;730;67.5
20540;Turku;730;67.5
02200;Espoo;1164;69.5
20100;Turku;480;38
13250;Hämeenlinna;797;75.5
00810;Helsinki;1403;79.5
01520;Vantaa;940;52.5
00150;Helsinki;950;54
00170;Helsinki;2550;145
00790;Helsinki;930;53
57200;Savonlinna;750;70
31300;Tammela;750;70
90500;Oulu;450;34.5
02760;Espoo;920;51
04300;Tuusula;1280;95.5
01510;Vantaa;828;44
02230;Espoo;1129.67;67
90120;Oulu;699;64
01300;Vantaa;926;51.5
33900;Tampere;1406.93;106.5
33720;Tampere;800;76
02200;Espoo;729;36.5
34130;Ylöjärvi;420;31
90120;Oulu;420;31
80110;Joensuu;700;54
70620;Kuopio;695;53.5
00920;Helsinki;999;57
02170;Espoo;945;53
01520;Vantaa;1312;81
70840;Kuopio;936;66
02100;Espoo;1049;68
15150;Lahti;650;49
00240;Helsinki;1034;59
02140;Espoo;977;62
02940;Espoo;1429;100
90250;Oulu;390;27.5
90250;Oulu;390;27.5
02200;Espoo;1048.9;61
02200;Espoo;1048.9;61
02230;Espoo;878.56;48
00200;Helsinki;1400;80
02600;Espoo;1029;59.5
02710;Espoo;1250;85
15500;Lahti;807;77
33720;Tampere;630;56
70600;Kuopio;790;53.5
80330;Joensuu;790;53.5
96300;Rovaniemi;415;30.5
33720;Tampere;654;49.5
00880;Helsinki;1303.75;74.5
15800;Lahti;520;43
00880;Helsinki;1295;74
01520;Vantaa;871;47.5
00810;Helsinki;1260;72
90240;Oulu;470;31
00880;Helsinki;1233.75;70.5
00880;Helsinki;1050;60
90570;Oulu;688;63
33960;Pirkkala;650;41.5
01510;Vantaa;1184;71.5
90100;Oulu;615;38.5
33400;Tampere;675;61.5
02200;Espoo;1014;49
06400;Porvoo;670;61
28360;Pori;817;78.5
00880;Helsinki;988.75;56.5
02140;Espoo;973;62
00790;Helsinki;1487;85
90500;Oulu;510;42
15100;Lahti;735;49
02200;Espoo;1390;87.5
02200;Espoo;1390;87.5
33800;Tampere;509.85;29.5
33800;Tampere;896;88
15870;Hollola;804;55
00510;Helsinki;1040;59.5
33720;Tampere;623;55.5
00300;Helsinki;1031;59
02140;Espoo;972;62
33710;Tampere;778;74
33310;Tampere;975;97.5
67100;Kokkola;870;85
33500;Tampere;1268.6;112
33900;Tampere;610;54
01450;Vantaa;750;38.5
33310;Tampere;780;53
02610;Espoo;730;37
00550;Helsinki;1520;87
04300;Tuusula;1390;106
02200;Espoo;1217.88;74.5
02620;Espoo;912;51
02710;Espoo;2200;150
00100;Helsinki;1500;86
70840;Kuopio;929;66
02400;Kirkkonummi;1090;80
01620;Vantaa;1100;73
02760;Espoo;677.41;33
30100;Forssa;450;35
26660;Rauma;450;35
40100;Jyväskylä;767.37;52
33710;Tampere;818;79
33710;Tampere;818;79
02200;Espoo;1171;71
15500;Lahti;801;77
02230;Espoo;1190;72.5
33540;Tampere;600;53
00240;Helsinki;1350;77.5
13500;Hämeenlinna;650;59
05880;Hyvinkää;650;59
33720;Tampere;675;62
13600;Hämeenlinna;700;65
02230;Espoo;780;41
26200;Rauma;800;77
90100;Oulu;720;48
00790;Helsinki;1498;86
33870;Tampere;673.96;44
02610;Espoo;773;40.5
24100;Salo;620;55.5
00790;Helsinki;1498;86
70840;Kuopio;995;72
00590;Helsinki;4000;230
01600;Vantaa;1259;78
02210;Espoo;961;61.5
53900;Lappeenranta;920;65.5
00180;Helsinki;1200;69
00260;Helsinki;800;46
33960;Pirkkala;440;34
90500;Oulu;590;52
15240;Lahti;615;55
02760;Espoo;1167;71
65200;Vaasa;690;64
01300;Vantaa;1264;78.5
33400;Tampere;990;100
01390;Vantaa;1050;62
96440;Rovaniemi;398;29
01600;Vantaa;1257;78
00100;Helsinki;1360;78.3
40100;Jyväskylä;930;66.5
40340;Jyväskylä;685.3;63.5
90100;Oulu;970;70
00440;Helsinki;790;45.5
00940;Helsinki;1250;72
00940;Helsinki;1250;72
24260;Salo;464;37
20700;Turku;980;99
15110;Lahti;930;93
15140;Lahti;797.28;55
00240;Helsinki;1292;74.5
28220;Pori;821.6;80
02770;Espoo;938;53.5
28100;Pori;1300;99
00530;Helsinki;1508;87
70840;Kuopio;831;58
33900;Tampere;659;60.5
02760;Espoo;957;55
02760;Espoo;957;55
48100;Kotka;688;64
00300;Helsinki;1300;75
02760;Espoo;1189;73
02620;Espoo;1080;72
50120;Mikkeli;430;33
02200;Espoo;898.11;50.5
10420;Raasepori;650;59.5
00100;Helsinki;1490;86
90100;Oulu;708;66.5
15140;Lahti;710;47.5
00220;Helsinki;1124.5;65
04200;Kerava;761.36;52
04220;Kerava;590;37
02720;Espoo;1290;90
00880;Helsinki;994.75;57.5
20320;Turku;972;70.5
02360;Espoo;973;63
20100;Turku;658;43
20100;Turku;670;62
02760;Espoo;884;49.5
70500;Kuopio;901.8;90
01350;Vantaa;716;36.5
02200;Espoo;2500;175
90100;Oulu;570;50
35300;Orivesi;856;84.5
70100;Kuopio;856.96;60.5
00300;Helsinki;1304.44;75.5
04220;Kerava;680;45
